Model,Average Accuracy,Average JSD,Average Wasserstein,Fold 1 Accuracy,Fold 2 Accuracy,Fold 1 JSD,Fold 2 JSD,Fold 1 Wasserstein,Fold 2 Wasserstein
Logistic Regression,0.7679398148148149,0.015431113821716061,0.16637658611561706,0.7708333333333334,0.7650462962962963,0.01569887404386562,0.015163353599566502,0.16404133359006529,0.16871183864116884
Random Forest,0.7309027777777778,0.013749063768604772,0.13046952099315345,0.7361111111111112,0.7256944444444444,0.014260324726164767,0.013237802811044776,0.13365532426886068,0.12728371771744623
XGBoost,0.7216435185185185,0.013026493850906932,0.13800341342855937,0.7222222222222222,0.7210648148148148,0.01299608094574432,0.013056906756069546,0.14236365827827666,0.13364316857884206
MLP Classifier,0.7135416666666666,0.01295052274047528,0.1168312451029827,0.7175925925925926,0.7094907407407407,0.01334464202951374,0.01255640345143682,0.13353572566180916,0.10012676454415625
